condition,variable,group,value
0,central_beta,0,0.005734900875482271
0,frontal_beta,0,0.21709189234264498
0,occipital_beta,0,0.3543351289166286
0,parietal_beta,0,0.2819277269078283
0,temporal_beta,0,0.4125164255363868
1,central_beta,0,-0.23566809320175097
1,frontal_beta,0,-0.14185561024827953
1,occipital_beta,0,0.011154975037981735
1,parietal_beta,0,-0.06236966825806135
1,temporal_beta,0,-0.06679273300087307
0,central_beta,1,0.10393957707201729
0,frontal_beta,1,0.15969993999178891
0,occipital_beta,1,-0.13746673753687044
0,parietal_beta,1,-0.0708551516002107
0,temporal_beta,1,-0.04725592587151601
1,central_beta,1,0.2305087026752922
1,frontal_beta,1,-0.2691345321290504
1,occipital_beta,1,-0.39415523185165996
1,parietal_beta,1,-0.24850202461764584
1,temporal_beta,1,-0.45561489963468293
